id,Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,Final Points,Groups on Final Points,ClusterPredicted K-means,cluster Kmeans 10000 runs
818,VERTEA SAS,23090,0.006277026,0.119070668,0.009493671,0,0.012048193,0,0,8.768528518,3,4,0
819,A.S.Shoe Accessories Pvt Ltd,27450,0.012135584,0.06195547,0.015822785,0,0.037865749,0,0,8.762397061,3,4,0
820,MARMARA METAL,20802,0.008508858,0.044530494,0.025316456,0,0.020654045,0,0,8.747960941,3,0,2
821,Boytem Boya ve Kimya San. Tic. Ltd. Şti.,18191,0.008787837,0.032913843,0.028481013,0,0.018932874,0,0,8.727930234,3,0,2
822,Vrbeks doo,24671,0.020225973,0.038722168,0.018987342,0,0.039586919,0,0,8.724221379,3,0,2
823,IC Development Group LLC,18595,0.010880179,0.047434656,0.022151899,0,0.027538726,0,0,8.723057808,3,0,2
824,Metkim Kimyevi Maddeler Ltd.Sti,3108,0.010740689,0.010648596,0.034810127,0,0.013769363,0,0,8.719957745,3,0,2
825,recoll international srl,29150,0.025526573,0.033881897,0.015822785,0,0.051635112,0,0,8.716736062,3,4,2
826,Coral SA,913,0.027758404,0.077444337,0.009493671,0,0.030981067,0,0,8.70792459,3,4,0
827,Legran LCC,26059,0.008090389,0.034849952,0.028481013,0,0.017211704,0,0,8.703804768,3,0,2
828,"EMILIO PEÑA, S.A.",5617,0.013669968,0.024201355,0.018987342,0,0.060240964,0,0,8.703082707,3,0,2
829,Agroferm Ltd.,12609,0.010880179,0.083252662,0.012658228,0,0.029259897,0,0,8.701282441,3,4,0
830,Unitec Helmsdorf GmbH,5506,0.006416516,0.020329138,0.009493671,0.016393443,0.030981067,0.006373854,0,8.701144127,3,0,2
831,NBI Consortium Ltd.,28391,0.013669968,0.05517909,0.009493671,0,0.067125645,0,0,8.697469346,3,4,0
832,Kompozit Akademi,31797,0.017436184,0.049370765,0.018987342,0,0.030981067,0,0,8.686869127,3,0,2
833,Donaldson Filtration Europe,30045,0.009903752,0.020329138,0.028481013,0,0.029259897,0,0,8.670841903,3,0,2
834,OMAK EV GERECLERI VE ISITMA SISTEMLER,31057,0.030827173,0.054211036,0.009493671,0,0.049913941,0,0,8.64634167,3,4,0
835,ACB,22334,0.006137537,0.012584705,0.006329114,0.016393443,0.034423408,0.014328748,0,8.634668587,3,0,2
836,ER-LAC G.D.KOUTLIS S.A,11876,0.012275073,0.003872217,0.034810127,0,0.017211704,0,0,8.629975018,3,0,2
837,"The Branch of Behn Meyer Vietnam Co., Ltd. in Bac Ninh",1434,0.025387083,0.045498548,0,0,0.101549053,0,0,8.621734228,3,4,0
838,Hilltop Honey Ltd,34154,0.014646394,0.05517909,0.022151899,0,0.013769363,0,0,8.610122116,3,0,2
839,Nebor Trading S.L.,23218,0.010182731,0.040658277,0.022151899,0,0.032702238,0,0,8.607542026,3,0,2
840,Alschu Chemie GmbH,31189,0.012693542,0.021297193,0.028481013,0,0.024096386,0,0,8.600558523,3,0,2
841,WestWood Kunststofftechnik GmbH,18637,0.010322221,0.05517909,0.015822785,0,0.04302926,0,0,8.591085492,3,4,0
842,LARRAGARD LIMITED,23209,0.01562282,0.005808325,0.009493671,0.016393443,0.04302926,0.001865403,0,8.586983291,3,0,2
843,Asit Ticaret Ltd.,31836,0.02371321,0.084220716,0.009493671,0,0.025817556,0,0,8.586308275,3,4,0
844,Schaumaplast GmbH & Co. KG,18137,0.014925373,0.064859632,0.018987342,0,0.015490534,0,0,8.561245296,3,0,2
845,Handelsvertretung Sabine Alisch e.K.,20347,0.008787837,0.06195547,0,0,0.099827883,0,0,8.528559449,3,4,0
846,Nordic Color Danmark ApS​,1566,0.062770261,0.062923524,0,0,0.04475043,0,0,8.522210743,3,4,0
847,Nortem Chem S.A,30798,0.045613056,0.011616651,0.015822785,0,0.049913941,0,0,8.521739373,3,0,2
848,Oxytabs GmbH,30093,0.021481378,0.045498548,0.009493671,0,0.065404475,0,0,8.517954233,3,4,0
849,Repsol,32587,0.03947552,0.025169409,0.012658228,0,0.055077453,0,0,8.517764657,3,4,2
850,AFFIX Labs Oy,29159,0.035709304,0.038722168,0.006329114,0,0.070567986,0,0,8.515795716,3,4,0
851,LEVACO Chemicals GmbH,1956,0.008508858,0.05517909,0.006329114,0,0.080895009,0,0,8.494970596,3,4,0
852,ASSAN Group,36081,0.018831078,0.062923524,0.018987342,0,0.012048193,0,0,8.487608092,3,0,2
853,Matt Wild LLC DBA therawick,26074,0.009066815,0.067763795,0.015822785,0,0.029259897,0,0,8.46908231,3,4,0
854,William Blythe,29872,0.027060957,0.041626331,0.012658228,0,0.049913941,0,0,8.461707042,3,4,0
855,AB Novoselski,31969,0.017994141,0.022265247,0.015822785,0,0.065404475,0,0,8.447750129,3,0,2
856,Oilchem Corporation,28530,0.013948947,0.025169409,0.028481013,0,0.015490534,0,0,8.426647027,3,0,2
857,Casale SA,24695,0.008229879,0.022265247,0.028481013,0,0.024096386,0,0,8.425778084,3,0,2
858,Lohmann Laborservice GmbH,15325,0.010880179,0.09196515,0,0,0.065404475,0,0,8.412490182,3,4,0
859,CPS ITALIA SRL,31997,0.004324174,0.150048403,0,0,0.013769363,0,0,8.40709697,3,4,0
860,ROTEX INTEGRATED BUSINESS LTD,29467,0.017575673,0.040658277,0.022151899,0,0.020654045,0,0,8.374779479,3,0,2
861,ACRILOVE d.o.o.,27265,0.017854652,0.060019361,0.009493671,0,0.051635112,0,0,8.374190424,3,4,0
862,Kamig KG,24287,0.027897894,0.008712488,0.006329114,0.016393443,0.037865749,0.000951695,0,8.363487371,3,0,2
863,Tint Production,34472,0.008927326,0.144240077,0,0,0.013769363,0,0,8.34683833,3,4,0
864,HISPANAMER,23352,0.011996094,0.038722168,0.012658228,0,0.065404475,0,0,8.337782459,3,4,0
865,"Tecnicola, SA",30655,0.020365462,0.013552759,0.022151899,0,0.04302926,0,0,8.27775381,3,0,2
866,LLC Bina Group,29653,0.077556145,0.048402711,0,0,0.039586919,0,0,8.277288708,3,4,0
867,STEINER,22669,0.021899847,0.037754114,0.012658228,0,0.055077453,0,0,8.268216243,3,4,0
868,Glue Chim prod srl,24507,0.0106012,0.030009681,0.022151899,0,0.036144578,0,0,8.26815267,3,0,2
869,P&J Partners LTD,28929,0.012833031,0.024201355,0.022151899,0,0.039586919,0,0,8.261445021,3,0,2
870,BIN Commerce doo,24040,0.014785884,0.050338819,0.018987342,0,0.024096386,0,0,8.258522764,3,0,2
871,CVA WELLS,25031,0.010182731,0.030977735,0,0,0.123924269,0,0,8.254236723,3,4,0
872,Banyan Recycling Nahid Giersch E.K.,952,0.016320268,0.072604066,0,0,0.075731497,0,0,8.232791553,3,4,0
873,Tintes Egara,33610,0.019249547,0.056147144,0.015822785,0,0.025817556,0,0,8.225269304,3,0,2
874,Beck & Jørgensen,28953,0.020225973,0.09874153,0.003164557,0,0.032702238,0,0,8.216398392,3,4,0
875,BS Chemical,32971,0.027060957,0.056147144,0.009493671,0,0.04302926,0,0,8.210602229,3,4,0
876,Newtech Chemical Company,27951,0.009903752,0.046466602,0.022151899,0,0.018932874,0,0,8.195541184,3,0,2
877,Silvaprodukt d.o.o.,7523,0.019389036,0.060019361,0.009493671,0,0.046471601,0,0,8.192734072,3,4,0
878,Solid Chemicals GmbH,16563,0.013948947,0.016456922,0.003164557,0.016393443,0.048192771,0.003412241,0,8.182756035,3,0,2
879,Gebr.Hoffsümmer Spezialpapier GmbH&Co.KG,32459,0.031803599,0.051306873,0.006329114,0,0.055077453,0,0,8.175219019,3,4,0
880,hubergroup Deutschland GmbH,24898,0.008648347,0.013552759,0.012658228,0.016393443,0.020654045,0.002189299,0,8.172021574,3,0,2
881,A&A Automotive limited,32700,0.017994141,0.033881897,0.015822785,0,0.048192771,0,0,8.167997458,3,0,2
882,Blagoleks,27903,0.012972521,0.014520813,0.025316456,0,0.034423408,0,0,8.159128222,3,0,2
883,Wall Chemie GmbH,31682,0.020086483,0.030977735,0.018987342,0,0.036144578,0,0,8.157908181,3,0,2
884,Eurolux gradnja,31725,0.006834984,0.026137464,0.03164557,0,0.003442341,0,0,8.149853346,3,0,2
885,SKINPLAST SRL,23789,0.008927326,0.030009681,0.025316456,0,0.022375215,0,0,8.128902223,3,0,2
886,Groupe Bordet,30485,0.019946994,0.074540174,0.012658228,0,0.017211704,0,0,8.11658918,3,4,0
887,Whale Spray SL,23700,0.013390989,0.058083253,0.015822785,0,0.027538726,0,0,8.115205361,3,0,2
888,Akemi chemisch technische Spezialfabrik GmbH,15532,0.005998047,0.017424976,0.012658228,0.016393443,0.022375215,0,0,8.100245999,3,0,2
889,HECK Wall Systems GmbH,24801,0.006416516,0.029041626,0.003164557,0.016393443,0.048192771,0,0,8.094145565,3,0,2
890,Logic Chemie BV,4156,0.009903752,0.015488867,0.028481013,0,0.022375215,0,0,8.084594271,3,0,2
891,CoTra UG,21590,0.023155252,0.084220716,0.003164557,0,0.04130809,0,0,8.067114274,3,4,0
892,Sarco Chemicals srl,21198,0.011996094,0.065827686,0.012658228,0,0.032702238,0,0,8.057946478,3,4,0
893,ProKalk,14742,0.014227926,0.051306873,0.012658228,0,0.04475043,0,0,8.045907033,3,4,0
894,GXC Coatings GmbH,14316,0.021341889,0.034849952,0.015822785,0,0.04130809,0,0,8.039553451,3,0,2
895,Kemper Farben GmbH,24699,0.013390989,0.007744434,0.006329114,0.016393443,0.048192771,0.00011413,0,8.022334012,3,0,2
896,ReUse srl,34007,0.020225973,0.034849952,0.009493671,0,0.067125645,0,0,8.008812676,3,4,0
897,Chemetall,17148,0.012554052,0.049370765,0.009493671,0,0.060240964,0,0,8.007023217,3,4,0
898,Syskem Chemie Gmbh,144,0.015483331,0.032913843,0.015822785,0,0.048192771,0,0,7.994054225,3,0,2
899,Lebenskraftpur GMBH & CO KG,33172,0.003208258,0.017424976,0.03164557,0,0.012048193,0,0,7.963185241,3,0,2
900,Specialty Surfaces Oy,21362,0.003766216,0.022265247,0.028481013,0,0.018932874,0,0,7.944419375,3,0,2
901,HDS-Chemie Handels GesmbH,9165,0.010182731,0.046466602,0.009493671,0,0.063683305,0,0,7.915366076,3,4,0
902,Polihim-SS Ltd,21645,0.014227926,0.014520813,0.025316456,0,0.027538726,0,0,7.877664404,3,0,2
903,Solmaster Oy,4805,0.017157205,0.062923524,0.006329114,0,0.051635112,0,0,7.851614796,3,4,0
904,Haska Plastics LLC,17210,0.009764263,0.012584705,0.028481013,0,0.020654045,0,0,7.846353146,3,0,2
905,Bhealthier,23739,0.016180778,0.009680542,0.006329114,0.016393443,0.039586919,0.000163281,0,7.833251396,3,0,2
906,Ezelkim Kimya,33867,0.020086483,0.027105518,0.022151899,0,0.020654045,0,0,7.822682053,3,0,2
907,Signatekma Boya ve Sinyalizasyon San. Tic. A.Ş.,18566,0.006137537,0.030009681,0.025316456,0,0.018932874,0,0,7.817295715,3,0,2
908,INGEVITY,13991,0.003208258,0.005808325,0.003164557,0.032786885,0.003442341,3.33E-05,0,7.8165669,3,0,2
909,PMS International S.L,24366,0.007113963,0.050338819,0.018987342,0,0.022375215,0,0,7.788868205,3,0,2
910,SEMKIM Boya ve Kimyevi Mad. San. Tic. Ltd. Şti.,8683,0.017715163,0.033881897,0.012658228,0,0.053356282,0,0,7.779312678,3,0,2
911,Creartec trend-design-gmbh,9077,0.002231831,0.037754114,0.009493671,0.016393443,0.012048193,0,0,7.779129627,3,0,2
912,Spiver Srl,18419,0.008927326,0.033881897,0.022151899,0,0.024096386,0,0,7.775660193,3,0,2
913,Tribotecc,28770,0.012693542,0.030009681,0.022151899,0,0.024096386,0,0,7.770360133,3,0,2
914,Leavs AB,17426,0.014088436,0.049370765,0.012658228,0,0.04130809,0,0,7.770010099,3,0,2
915,Globachem Discovery Ltd,13806,0.008927326,0.025169409,0.028481013,0,0.006884682,0,0,7.745273385,3,0,2
916,"SANYO TRADING CO.,LTD.",5419,0.088296834,0.01839303,0,0,0.048192771,0,0,7.744131734,3,4,0
917,MAV,14791,0.011298647,0.027105518,0.022151899,0,0.027538726,0,0,7.727524307,3,0,2
918,Jobachem Gmbh,989,0.031803599,0.010648596,0.006329114,0,0.08605852,0,0,7.691358532,3,4,0
919,Oy Celego Ab,2272,0.033616962,0.022265247,0.015822785,0,0.034423408,0,0,7.679837797,3,0,2
920,VMP Chemiekontor GmbH,5830,0.016180778,0.05517909,0.003164557,0,0.068846816,0,0,7.643245603,3,4,0
921,Laboratoris Bleuet S.L,22116,0.00516111,0.029041626,0.025316456,0,0.017211704,0,0,7.634013171,3,0,2
922,Artech GmbH,20169,0.013669968,0.01839303,0.025316456,0,0.018932874,0,0,7.613084753,3,0,2
923,Scandir Chemicals AB,17963,0.013669968,0.064859632,0.015822785,0,0.010327022,0,0,7.607388084,3,0,2
924,Evolube Kft.,29307,0.022318315,0.071636012,0.006329114,0,0.032702238,0,0,7.59865099,3,4,0
925,Carmatod,24731,0.008648347,0.021297193,0.025316456,0,0.020654045,0,0,7.593270361,3,0,2
926,Chemence Ltd,16349,0.003766216,0,0.015822785,0.016393443,0.018932874,0,0,7.578199987,3,0,2
927,CENTRAL CHIMICA S.R.L.,31624,0.013390989,0.039690223,0.018987342,0,0.022375215,0,0,7.570289693,3,0,2
928,IRTECON S.L.,24013,0.009206305,0.037754114,0.022151899,0,0.015490534,0,0,7.552927383,3,0,2
929,Oxford Nanosystems Ltd,23092,0.008648347,0.043562439,0.012658228,0,0.048192771,0,0,7.551823451,3,0,2
930,Huiles-et-Sens,24480,0.00516111,0.016456922,0.009493671,0.016393443,0.025817556,0,0,7.549202095,3,0,2
931,Omya,26129,0.014088436,0.049370765,0.015822785,0,0.024096386,0,0,7.542336293,3,0,2
932,GEB SAS,17809,0.00781141,0.034849952,0.025316456,0,0.006884682,0,0,7.54059331,3,0,2
933,NOGALES & POTRA AG. LDA,22894,0.006974473,0.019361084,0.028481013,0,0.010327022,0,0,7.529331533,3,0,2
934,A. FLOROPOULOU SA,31078,0.014925373,0.024201355,0.006329114,0,0.08605852,0,0,7.525085195,3,4,0
935,Bulletliner France,34481,0.007253452,0.019361084,0.025316456,0,0.022375215,0,0,7.512778726,3,0,2
936,CEPSA,34005,0.012693542,0.082284608,0.006329114,0,0.029259897,0,0,7.4777251,3,4,0
937,IKENGA TURKEY PAZARLAM DIS TICARET A.S,18080,0.00781141,0.035818006,0.022151899,0,0.017211704,0,0,7.472435747,3,0,2
938,Visater,16193,0.016599247,0.043562439,0.015822785,0,0.025817556,0,0,7.463519072,3,0,2
939,NEVENA COLOR D.O.O. LESKOVAC,19433,0.004603152,0.097773475,0.009493671,0,0.008605852,0,0,7.447858165,3,4,0
940,BONAZZI SRL,23305,0.009903752,0.034849952,0.022151899,0,0.015490534,0,0,7.442591618,3,0,2
941,UAB Unitecha,31018,0.017436184,0.019361084,0.009493671,0,0.074010327,0,0,7.439113918,3,4,2
942,RS Rittel GmbH,22114,0.019249547,0.053242982,0.009493671,0,0.037865749,0,0,7.416648026,3,4,2
943,Marketing Standard Ltd,32577,0.012833031,0.022265247,0.015822785,0,0.049913941,0,0,7.415167934,3,0,2
944,euro-lab trade gmbh,29834,0.009903752,0.034849952,0.018987342,0,0.027538726,0,0,7.412089864,3,0,2
945,Diana Group srl,12026,0.001115916,0.000968054,0.009493671,0.016393443,0.003442341,0.019417786,0,7.39551687,3,0,2
946,KEMIA TAU SRL,21641,0.002789789,0.017424976,0.028481013,0,0.013769363,0,0,7.395408948,3,0,2
947,Kroonint B.V.,21809,0.006277026,0.093901258,0.006329114,0,0.022375215,0,0,7.39349777,3,4,0
948,KMMI,30564,0.014367415,0.016456922,0.006329114,0.016393443,0.025817556,0.0001033,0,7.386935976,3,0,2
949,Polyseam Limited,22778,0.004603152,0.025169409,0.003164557,0.016393443,0.039586919,0,0,7.37957397,3,0,2
950,Green CnT,25641,0.033895941,0.046466602,0,0,0.067125645,0,0,7.374409421,3,4,0
951,HM Industrieservice GmbH,22472,0.011298647,0.024201355,0.009493671,0,0.074010327,0,0,7.37425064,3,4,0
952,Technofond Gießereihilfsmittel GmbH,18341,0.005998047,0.023233301,0.012658228,0.016393443,0,0.00102118,0,7.374019494,3,0,2
953,Photocentric Ltd,33154,0.013669968,0.059051307,0.012658228,0,0.024096386,0,0,7.372528586,3,0,2
954,intumescent systems ltd,3001,0.012554052,0.017424976,0.018987342,0,0.04130809,0,0,7.361824228,3,0,2
955,Bondchem,20978,0.007392942,0.050338819,0.015822785,0,0.025817556,0,0,7.342022799,3,0,2
956,Tricogen Ltd,23498,0.014785884,0.030977735,0.006329114,0,0.075731497,0,0,7.340578577,3,4,0
957,Dema Boya,22375,0.011438136,0.015488867,0.003164557,0.016393443,0.04130809,0,0,7.323354582,3,0,2
958,GB Therma-Chem Ltd,34067,0.010322221,0.089060987,0.003164557,0,0.034423408,0,0,7.323242193,3,4,0
959,"Kylav, lda",36091,0.007392942,0.056147144,0.018987342,0,0.006884682,0,0,7.318706737,3,0,2
960,Sicame UK Ltd,34401,0.017436184,0.058083253,0.009493671,0,0.032702238,0,0,7.309817865,3,4,2
961,Höganäs livs,31323,0.024968615,0.053242982,0.012658228,0,0.017211704,0,0,7.302810591,3,0,2
962,SEBA KIMYA A.S,25954,0.017715163,0.027105518,0.015822785,0,0.037865749,0,0,7.298878418,3,0,2
963,EigenArt,21413,0.008927326,0.01839303,0.025316456,0,0.017211704,0,0,7.289894137,3,0,2
964,Nectaris Spółka z o. o.,28769,0.011159157,0.037754114,0.009493671,0,0.058519793,0,0,7.270387436,3,4,2
965,"GTK GROUP, spol s r. o.",20139,0.003208258,0.021297193,0.009493671,0.016393443,0.017211704,6.33E-05,0,7.269611728,3,0,2
966,Teso IT Tech OU,27538,0.018133631,0.024201355,0.015822785,0,0.039586919,0,0,7.260652227,3,0,2
967,R-ImpeX,32173,0.01046171,0.030977735,0.018987342,0,0.027538726,0,0,7.246376916,3,0,2
968,nanoSaar Lab GmbH,11189,0.004324174,0.005808325,0.015822785,0.016393443,0.005163511,0.000349888,0,7.243034789,3,0,2
969,"BAFO ENTERPRISE CO., LTD",23915,0.035151346,0.025169409,0,0,0.084337349,0,0,7.232905248,3,4,0
970,Atos for Production of Medicinal herbs( Atos Pharma),28403,0.010880179,0.022265247,0.015822785,0,0.048192771,0,0,7.231466786,3,0,2
971,LRC Chemical Trade A.S.,18849,0.014646394,0.030977735,0.012658228,0,0.048192771,0,0,7.222490571,3,0,2
972,Sagar Speciality Chemicals Private Limited,6314,0.006556005,0.007744434,0.03164557,0,0.003442341,0,0,7.216252899,3,0,2
973,Thode + Scobel GmbH & Co. KG,2524,0.013669968,0.028073572,0.022151899,0,0.013769363,0,0,7.206024907,3,0,2
974,VIDOFLEX SA,33377,0.021341889,0.031945789,0.015822785,0,0.027538726,0,0,7.205877161,3,0,2
975,SEA-LAND CHEMICAL,5761,0.03668573,0.003872217,0,0,0.103270224,0,0,7.191408541,3,4,0
976,Linde Eckstein GmbH + Co. KG,25600,0.011577626,0.082284608,0,0,0.049913941,0,0,7.188808765,3,4,0
977,Cofermin Chemicals Gmbh & Co. Kg,149,0.025387083,0.033881897,0,0,0.084337349,0,0,7.180316503,3,4,0
978,"HARIMATEC CZECH,s.r.o.",34862,0.01046171,0.038722168,0.015822785,0,0.030981067,0,0,7.172804247,3,0,2
979,Standart 2014,31542,0.023434231,0.034849952,0.012658228,0,0.034423408,0,0,7.167025081,3,0,2
980,University of Trento,30780,0.035011857,0.023233301,0.012658228,0,0.034423408,0,0,7.165073849,3,0,2
981,Ostec-Integra,21171,0.010322221,0.027105518,0.022151899,0,0.017211704,0,0,7.162351874,3,0,2
982,Richard Steinebach GmbH & Co. KG,18999,0.027618915,0.005808325,0.012658228,0,0.058519793,0,0,7.128997245,3,0,2
983,T.I.P.C.I GROUP LIMITED,34299,0.029711257,0.035818006,0.006329114,0,0.051635112,0,0,7.124041509,3,4,2
984,Garden of Scents,24769,0.012693542,0.074540174,0.009493671,0,0.017211704,0,0,7.12100517,3,0,2
985,NOVASİA BOYA,25058,0.009066815,0.056147144,0.015822785,0,0.013769363,0,0,7.113723105,3,0,2
986,KKF-Gesellschaft UG (haftungsbeschränkt),27255,0.017854652,0.019361084,0.006329114,0.016393443,0.013769363,0,0,7.093766277,3,0,2
987,Aroma Praha a.s.,27925,0.012135584,0.046466602,0.003164557,0,0.070567986,0,0,7.091419999,3,4,0
988,Hyperion robotics oy,18909,0.017296694,0.053242982,0.012658228,0,0.020654045,0,0,7.091331592,3,0,2
989,GST Netherlands,22651,0.014925373,0.090029042,0.003164557,0,0.024096386,0,0,7.085451408,3,4,0
990,C.R.E. SRL,22978,0.0106012,0.070667957,0.009493671,0,0.022375215,0,0,7.080952785,3,0,2
991,NEXE DD TAJNOVAC 1 NAŠICE,16844,0.021202399,0.066795741,0.009493671,0,0.015490534,0,0,7.073167844,3,0,2
992,Luxfer MEL Technologies,21423,0.007532431,0.03678606,0.018987342,0,0.020654045,0,0,7.046095158,3,0,2
993,moi composites srl,31399,0.016878226,0.027105518,0.018987342,0,0.020654045,0,0,7.029357772,3,0,2
994,Pentagram Lda,22945,0.010043242,0.033881897,0.018987342,0,0.020654045,0,0,7.026427548,3,0,2
995,Lifetime Technologies GmbH,7873,0.011019668,0.003872217,0.006329114,0.016393443,0.030981067,0.001874067,0,7.025565605,3,0,2
996,Pentagon Trade Sp. z o.o. Sp. k.,18946,0.009485284,0.052274927,0.006329114,0,0.053356282,0,0,7.021647461,3,4,0
997,Viva Decor GmbH,27292,0.019668015,0.030009681,0.006329114,0,0.065404475,0,0,7.019931317,3,4,0
998,RD Engineering,33952,0.011159157,0.054211036,0.012658228,0,0.024096386,0,0,7.004974512,3,0,2
999,Novachim Romania SRL,6591,0.013530478,0.005808325,0.018987342,0,0.04475043,0,0,7.001930055,3,0,2
1000,Beckers Industrial Coatings Spa,519,0.014506905,0.075508228,0.009493671,0,0.012048193,0,0,7.001900475,3,0,2
1001,Chromos boje i lakovi d.d.,11386,0.008090389,0.039690223,0.003164557,0.016393443,0.013769363,0,0,6.989098667,3,0,2
1002,UNEX GmbH,16484,0.012833031,0.049370765,0.009493671,0,0.039586919,0,0,6.988269926,3,0,2
1003,Plantol Gmbh,32704,0.011298647,0.026137464,0.012658228,0,0.051635112,0,0,6.985206696,3,0,2
1004,CHRYSO S.A.S,8668,0.012833031,0.037754114,0.006329114,0,0.063683305,0,0,6.979345284,3,4,0
1005,MAXI COLOR S.A.,23445,0.013948947,0.003872217,0.006329114,0,0.096385542,0,0,6.976158078,3,4,0
1006,SAN MARCO GROUP SPA,17573,0.012135584,0.038722168,0.012658228,0,0.037865749,0,0,6.967820615,3,0,2
1007,Portsmouth Aviation Ltd,27773,0.012972521,0.064859632,0.006329114,0,0.036144578,0,0,6.964659336,3,4,0
1008,Inoveco SRL,33705,0.019110057,0.064859632,0.009493671,0,0.017211704,0,0,6.957803842,3,0,2
1009,Amonn Coatings GmbH,15203,0.008648347,0.042594385,0.009493671,0,0.049913941,0,0,6.956567868,3,0,2
1010,Europak sp. z o.o.,28420,0.0106012,0.019361084,0.012658228,0,0.058519793,0,0,6.955749434,3,0,2
1011,Clydebridge Chemicals Ltd,34312,0.012554052,0.043562439,0.018987342,0,0.006884682,0,0,6.947527017,3,0,2
1012,DSM Biomedical,19188,0.011019668,0.034849952,0.009493671,0,0.055077453,0,0,6.946087791,3,0,2
1013,Unitary Enterprises Chemical Production,15849,0.013390989,0.014520813,0.022151899,0,0.022375215,0,0,6.944730611,3,0,2
1014,Interflux Electronics,31964,0.015343842,0.057115198,0.012658228,0,0.015490534,0,0,6.929124247,3,0,2
1015,Dreamfields bv,16913,0.012554052,0.079380445,0.009493671,0,0.008605852,0,0,6.92575165,3,0,2
1016,KEMOTON GROUP Ltd.,10840,0.019946994,0.025169409,0.009493671,0,0.055077453,0,0,6.908426985,3,0,2
1017,Fintech Ltd.,2431,0.008648347,0.041626331,0.009493671,0,0.049913941,0,0,6.908165157,3,0,2
1018,Chemical Centre,26013,0.011159157,0.000968054,0,0,0.125645439,0,0,6.88863253,3,4,0
1019,Norsk Lut AS,5999,0.011019668,0.025169409,0.015822785,0,0.037865749,0,0,6.867298273,3,0,2
1020,Chemnovatic,14831,0.011577626,0.041626331,0.015822785,0,0.020654045,0,0,6.857457048,3,0,2
1021,Umicore Specialty Materials Brugge NV,24230,0.007113963,0.039690223,0.012658228,0,0.039586919,0,0,6.851200802,3,0,2
1022,Amino Point,15721,0.0026503,0.007744434,0.03164557,0,0,0,0,6.848850604,3,0,2
1023,Mader srl,22158,0.007671921,0.030977735,0.009493671,0,0.060240964,0,0,6.843265146,3,0,2
1024,Siemens AG,24294,0.008090389,0.033881897,0.018987342,0,0.018932874,0,0,6.8427264,3,0,2
1025,Hexigone,6964,0.002929279,0,0.009493671,0.016393443,0.020654045,0.004698496,0,6.826438529,3,0,2
1026,BORDOKİM BOYA,35404,0.013669968,0.087124879,0.006329114,0,0.010327022,0,0,6.821916249,3,4,0
1027,ABA Stronalva,1519,0.007392942,0.026137464,0.015822785,0,0.039586919,0,0,6.820423194,3,0,2
1028,The Clay and Paint Factory S.A.,26157,0.017157205,0.023233301,0.015822785,0,0.032702238,0,0,6.819194123,3,0,2
1029,"Azelis Americas Case, LLC",2485,0.02106291,0,0,0,0.115318417,0,0,6.819066314,3,4,0
1030,VENÜS İÇ VE DIŞ TİCARET,34618,0.0106012,0.038722168,0.003164557,0,0.074010327,0,0,6.799596146,3,4,0
1031,CALDIC FRANCE,22327,0.012414563,0.05517909,0.006329114,0,0.04302926,0,0,6.796968416,3,4,0
1032,Ociquim SRL,31022,0.009903752,0.003872217,0.025316456,0,0.020654045,0,0,6.784791832,3,0,2
1033,İpek Porselen,33157,0.022457804,0.03678606,0.012658228,0,0.025817556,0,0,6.784716589,3,0,2
1034,Derwick Ltd.,32143,0.002092342,0,0.03164557,0,0.006884682,0,0,6.777965105,3,0,2
1035,JSC LAIKO MATAS,32927,0.017017715,0.029041626,0.015822785,0,0.025817556,0,0,6.758401834,3,0,2
1036,Menarini Turkey,34266,0.021341889,0.028073572,0.015822785,0,0.022375215,0,0,6.75409076,3,0,2
1037,Aimplas,19358,0.019807505,0.019361084,0.006329114,0,0.070567986,0,0,6.752651534,3,0,2
1038,ICC-Chemol Co. Ltd.,20273,0.009903752,0.050338819,0.012658228,0,0.024096386,0,0,6.748593409,3,0,2
1039,DOCO TECHNOLOGIES SLU,29276,0.031106151,0.009680542,0.006329114,0,0.068846816,0,0,6.747498256,3,0,2
1040,essetre srl,15151,0.008927326,0.045498548,0.015822785,0,0.017211704,0,0,6.746435855,3,0,2
1041,OMAC Integrated LLC,32119,0.010043242,0.048402711,0.003164557,0,0.063683305,0,0,6.739374239,3,4,0
1042,ELTON INTERNATIONAL TRADING COMPANY S.A,169,0.02636351,0.050338819,0.006329114,0,0.032702238,0,0,6.736051087,3,0,2
1043,MICROTEX COMPOSITES SRL,33886,0.007671921,0.011616651,0.006329114,0.016393443,0.020654045,0.001715451,0,6.713187218,3,0,2
1044,BATILAR ELEKTRİK VE ELEKTROMARKET SAN VE TİC.LTD.ŞTİ.,34561,0.018552099,0.017424976,0.009493671,0,0.060240964,0,0,6.709636126,3,0,2
1045,Xtratherm Ltd,27376,0.014646394,0.058083253,0.006329114,0,0.036144578,0,0,6.709534043,3,4,2
1046,DONAUCHEM sro,23432,0.013530478,0.031945789,0.012658228,0,0.037865749,0,0,6.698746376,3,0,2
1047,Bombay Wellprint Inks Pvt. Ltd.,24966,0.001255405,0.000968054,0.03164557,0,0.005163511,0,0,6.698462455,3,0,2
